Words;Frequencies;Ranks;Logarithm of Frequencies;Logarithm of ranks
наших;1;457;0.0;2.65991620006985
детей;1;458;0.0;2.660865478003869
компания;1;459;0.0;2.661812685537261
году;1;460;0.0;2.662757831681574
отметит;1;461;0.0;2.663700925389648
десятилетний;1;462;0.0;2.6646419755561253
юбилей;1;463;0.0;2.665580991017953
старше;1;464;0.0;2.6665179805548807
ваня;1;465;0.0;2.6674529528899535
тобой;1;466;0.0;2.6683859166899997
равны;1;467;0.0;2.669316880566112
служил;1;468;0.0;2.6702458530741238
лука;1;469;0.0;2.671172842715083
лукич;1;470;0.0;2.672097857935717
инженерном;1;471;0.0;2.6730209071288957
училище;1;472;0.0;2.6739419986340875
критерий;1;473;0.0;2.674861140737811
требовательности;1;474;0.0;2.675778341674085
сохранился;1;475;0.0;2.6766936096248664
город;1;476;0.0;2.677606952720493
расти;1;477;0.0;2.678518379040114
развиваться;1;478;0.0;2.6794278966121188
свадебном;1;479;0.0;2.6803355134145628
пиру;1;480;0.0;2.681241237375587
ходе;1;481;0.0;2.6821450763738315
ритуала;1;482;0.0;2.683047038238849
участвовали;1;483;0.0;2.6839471307515117
соединенные;1;484;0.0;2.6848453616444123
союзом;1;485;0.0;2.6857417386022635
пал;1;486;0.0;2.686636269262293
палыч;1;487;0.0;2.687528961214634
исколесил;1;488;0.0;2.6884198220027105
караганду;1;489;0.0;2.6893088591236203
помнил;1;490;0.0;2.6901960800285134
близко;1;491;0.0;2.691081492122968
находились;1;492;0.0;2.69196510276736
гостиницы;1;493;0.0;2.6928469192772297
соскабливании;1;494;0.0;2.6937269489236466
поверхностного;1;495;0.0;2.6946051989335684
слоя;1;496;0.0;2.695481676490197
открываются;1;497;0.0;2.696356388733332
густые;1;498;0.0;2.697229342759717
трещины;1;499;0.0;2.6981005456233897
волокон;1;500;0.0;2.6989700043360183
сильно;1;501;0.0;2.6998377258672455
распечён;1;502;0.0;2.700703717145019
генералом;1;503;0.0;2.7015679850559273
чужим;1;504;0.0;2.702430536445525
министерство;1;505;0.0;2.7032913781186614
воплотило;1;506;0.0;2.704150516839799
идею;1;507;0.0;2.705007959333336
исключением;1;508;0.0;2.705863712283919
случай;1;509;0.0;2.7067177823367583
классу;1;510;0.0;2.707570176097936
живого;1;511;0.0;2.7084209001347124
наречием;1;512;0.0;2.7092699609758304
суд;1;513;0.0;2.710117365111816
явился;1;514;0.0;2.7109631189952754
ударился;1;515;0.0;2.7118072290411908
бега;1;516;0.0;2.7126497016272113
сердца;1;517;0.0;2.7134905430939424
выдержали;1;518;0.0;2.7143297597452327
нагрузок;1;519;0.0;2.7151673578484576
отличившимся;1;520;0.0;2.716003343634799
семестра;1;521;0.0;2.716837723299524
выписать;1;522;0.0;2.717670503002262
премию;1;523;0.0;2.718501688867274
примерах;1;524;0.0;2.7193312869837265
жирным;1;525;0.0;2.7201593034059566
шрифтом;1;526;0.0;2.720985744153739
являющиеся;1;527;0.0;2.7218106152125463
придат;1;528;0.0;2.722633922533812
увидит;1;529;0.0;2.7234556720351857
управляющий;1;530;0.0;2.7242758696007887
бунтуете;1;531;0.0;2.725094521081469
пощадит;1;532;0.0;2.725911632295048
выбросит;1;533;0.0;2.726727209026572
промысла;1;534;0.0;2.727541257028556
фокусе;1;535;0.0;2.728353782021228
отца;1;536;0.0;2.7291647896927698
игнатия;1;537;0.0;2.7299742856995555
краха;1;538;0.0;2.730782275666389
семьи;1;539;0.0;2.7315887651867388
потащило;1;540;0.0;2.7323937598229686
цепко;1;541;0.0;2.733197265106569
держала;1;542;0.0;2.7339992865383866
тартасова;1;543;0.0;2.7347998295888467
руку;1;544;0.0;2.7355988996981795
заглянуть;1;545;0.0;2.736396502276642
посмотреть;1;546;0.0;2.737192642704737
форме;1;547;0.0;2.7379873263334304
окончательно;1;548;0.0;2.738780558484369
обезумевшие;1;549;0.0;2.7395723444500915
фанаты;1;550;0.0;2.740362689494243
стали;1;551;0.0;2.741151598851785
выламывать;1;552;0.0;2.7419390777291985
кресла;1;553;0.0;2.742725131304698
решая;1;554;0.0;2.7435097647284294
задачу;1;555;0.0;2.744292983122676
посмотрите;1;556;0.0;2.745074791582057
учебника;1;557;0.0;2.745855195173729
хочу;1;558;0.0;2.746634198937578
притворяться;1;559;0.0;2.747411807886423
играю;1;560;0.0;2.7481880270062002
вошёл;1;561;0.0;2.748962861256161
кофейню;1;562;0.0;2.7497363155690606
пенсионер;1;563;0.0;2.7505083948513462
сидел;1;564;0.0;2.751279103983342
столиком;1;565;0.0;2.7520484478194382
докладе;1;566;0.0;2.7528164311882715
лидер;1;567;0.0;2.753583058892906
партии;1;568;0.0;2.754348335711019
остановился;1;569;0.0;2.755112266395071
заслугах;1;570;0.0;2.7558748556724915
народников;1;571;0.0;2.7566361082458477
госдуме;1;572;0.0;2.757396028793024
связанные;1;573;0.0;2.75815462196739
отдачей;1;574;0.0;2.7589118923979736
отдача;1;575;0.0;2.75966784468963
брать;1;576;0.0;2.760422483423212
вложить;1;577;0.0;2.7611758131557314
т;1;578;0.0;2.761927838420529
берет;1;579;0.0;2.762678563727436
лепту;1;580;0.0;2.763427993562937
цен;1;581;0.0;2.76417613239033
внесла;1;582;0.0;2.7649229846498886
ипотека;1;583;0.0;2.7656685547590136
