Index,Year,Name,Manual_KW,Manual_Count,YAKE_KW,YAKE_Count,Intersection,Intersection_Count,Ratio_Manual,Ratio_YAKE,Status
198,2017,Khokhlova,,0,"мера, биграмм, меры, мер, сочетаний, результаты, количество, данная мера, количество сочетаний, наибольшее количество",10,,0,0.0,0.0,YAKE Only
199,2017,Kislov,"Chinese netspeak, computer-mediated communication,
wordplay, new Chinese characters.",4,,0,,0,0.0,0.0,Manual Only
200,2017,Kislov,"китайский язык, интернет-язык, языковая
игра, новые иероглифы.",4,,0,,0,0.0,0.0,Manual Only
201,2017,Kislov,,0,"вместо, китайском языке, букв, китайского языка, языка, китайском, языке, Китае, иероглифов, китайского",10,,0,0.0,0.0,YAKE Only
202,2017,Kriukova,"semantic similarity, semantic similarity measures, DKPro
Similarity, machine learning, computational linguistics.",5,,0,,0,0.0,0.0,Manual Only
203,2017,Kriukova,"семантическая близость, метрики
семантической близости, DKPro Similarity, машинное
обучение, компьютерная лингвистика",5,,0,,0,0.0,0.0,Manual Only
204,2017,Kriukova,,0,"близости текстов, текстов, семантической близости, близости, метрик близости, DKPro Similarity, Similarity, семантической, оценки, метрик",10,,0,0.0,0.0,YAKE Only
205,2017,Kurochkina,"Corpora, extraction of collocations, measures of
association",3,,0,,0,0.0,0.0,Manual Only
206,2017,Kurochkina,"корпуса, извлечение коллокаций,
меры ассоциации",3,,0,,0,0.0,0.0,Manual Only
207,2017,Kurochkina,,0,"коллокаций, Коллокации, устойчивых словосочетаний, слова, словарях, кандидаты, база, золотого стандарта, извлечения коллокаций, словосочетания",10,,0,0.0,0.0,YAKE Only
208,2017,Martynenko,"frequency dictionaries, everyday spoken language,
statistical consistency, statistical scales, sampling, dynamic series, rank
distribution, uniform distribution",8,,0,,0,0.0,0.0,Manual Only
209,2017,Martynenko,"частотные словари, повседневная
разговорная
речь,
статистическая
состоятельность,
статистические шкалы, выборка, динамические ряды,
ранговое распределение, равномерное распределение",8,,0,,0,0.0,0.0,Manual Only
210,2017,Martynenko,,0,"порядковых статистик, частотных словарей, объема выборки, объема, статистик, частотных, статистики, порядковых, словарей, выборки",10,,0,0.0,0.0,YAKE Only
211,2017,Masevich,"corpora of texts, diachronic studies, frequency of lexiсal units, models of words behavior, semantic
field.",5,,0,,0,0.0,0.0,Manual Only
212,2017,Masevich,"корпусы текстов, диахронические исследования, частотность
лексических единиц, модели частотного поведения, семантическое поле.",5,,0,,0,0.0,0.0,Manual Only
213,2017,Masevich,,0,"Аплодисменты, Google Books, Продолжительные аплодисменты, Бурные аплодисменты, видно, Санкт-Петербургский государственный, сталинские, частотного поведения, период, временной период",10,,0,0.0,0.0,YAKE Only
214,2017,Ogay,"lexicography, visualization, modelling, three-dimensional, biology, frequency
dictionary, diagram ,",8,,0,,0,0.0,0.0,Manual Only
215,2017,Ogay,"лексикография, визуализация, моделирование, трехмерный,
биология, частотный словарь, диаграмма",7,,0,,0,0.0,0.0,Manual Only
216,2017,Ogay,,0,"МОДЕЛИРОВАНИЕ СЛОВАРЕЙ, СЛОВАРЕЙ ОПИСАНИЙ, языковой информации, ОПИСАНИЙ ДОКЕМБРИЙСКИХ, частотных словарей, ВЯИ, информации, СЛОВАРЕЙ, частотные словари, информации Важной",10,,0,0.0,0.0,YAKE Only
220,2017,Popov,"anomaly detection, statistical analysis, syntactic relations, collocations analysis.",4,,0,,0,0.0,0.0,Manual Only
221,2017,Popov,"критерий аномальности, статистический анализ, синтаксические связи, анализ
коллокаций.",4,,0,,0,0.0,0.0,Manual Only
222,2017,Popov,,0,"ЧЕРНЫЕ ЛЕБЕДИ, слов, Задача, связей, ТЕКСТА, анализа, документов, аномалий, текстов, корпуса",10,,0,0.0,0.0,YAKE Only
217,2017,Popova,"oral speech, reduplication, pragmatics, approximation",4,,0,,0,0.0,0.0,Manual Only
218,2017,Popova,"устная речь, редупликация, прагматика,
аппроксимация",4,,0,,0,0.0,0.0,Manual Only
219,2017,Popova,,0,"устной речи, речи, единиц, единицы, такой-сякой, Таким образом, единицы такой-сякой, Беседа, Эхо Москвы, коллекции НКРЯ",10,,0,0.0,0.0,YAKE Only
223,2017,Sedova,"topic modelling, LDA, bigrams",3,,0,,0,0.0,0.0,Manual Only
224,2017,Sedova,"тематическое моделирование, LDA, биграммы",3,,0,,0,0.0,0.0,Manual Only
225,2017,Sedova,,0,"текстов, слов, корпуса текстов, биграмм, модели, корпуса, алгоритма, модель, тематической модели, слова",10,,0,0.0,0.0,YAKE Only
226,2017,Smirnova,"lexical database, Tibetan corpus, Tibetan noun-compounds,
linguistic picture of the world",4,,0,,0,0.0,0.0,Manual Only
